id;created_at;open;close;high;low;volume;reversal;best_bid_price;best_bid_quantity;best_ask_price;best_ask_quantity;spread;spread_percentage;bid_liquidity;ask_liquidity;total_liquidity;imbalance;weighted_mid_price
4823;2025-09-07 15:46:09.411369+00;111320.00;111310.00;111320.00;111310.00;2048788.84;-1;111316.99;0.62;111317.00;12.04;0.01;0.0000;69388.33;1346055.23;1415443.56;-90.1955;111316.99
4824;2025-09-07 15:46:09.425725+00;111310.00;111300.00;111310.00;111300.00;18.92;;111316.99;0.62;111317.00;12.04;0.01;0.0000;69388.33;1346055.23;1415443.56;-90.1955;111316.99
4825;2025-09-07 15:46:09.495984+00;111300.00;111290.00;111300.00;111290.00;42544.28;;111316.99;0.62;111317.00;12.04;0.01;0.0000;69388.33;1346055.23;1415443.56;-90.1955;111316.99
4826;2025-09-07 15:46:26.306562+00;111290.00;111280.00;111290.00;111280.00;120246.49;;111288.00;0.85;111288.01;10.15;0.01;0.0000;94757.28;1308999.94;1403757.22;-86.4995;111288.00
4827;2025-09-07 15:46:38.586636+00;111280.00;111270.00;111280.00;111270.00;44419.74;;111276.68;0.53;111276.69;9.97;0.01;0.0000;59520.78;1523272.82;1582793.60;-92.4790;111276.68
4828;2025-09-07 15:59:01.768022+00;111270.00;111280.00;111280.00;111270.00;3098980.24;1;111276.63;8.37;111276.64;1.05;0.01;0.0000;938602.78;150100.12;1088702.90;72.4259;111276.64
4829;2025-09-07 15:59:01.769034+00;111280.00;111290.00;111290.00;111280.00;11.13;;111276.63;8.37;111276.64;1.05;0.01;0.0000;938602.78;150100.12;1088702.90;72.4259;111276.64
4830;2025-09-07 15:59:01.916946+00;111290.00;111300.00;111300.00;111290.00;13643.63;;111295.56;9.39;111295.57;0.99;0.01;0.0000;1044840.49;109980.06;1154820.55;80.9529;111295.57
4831;2025-09-07 15:59:41.972727+00;111300.00;111310.00;111310.00;111300.00;198315.24;;111299.99;13.61;111300.00;1.17;0.01;0.0000;1517553.10;130829.81;1648382.91;84.1263;111300.00
4832;2025-09-07 15:59:44.919792+00;111310.00;111320.00;111320.00;111310.00;31138.63;;111315.61;14.14;111315.62;0.09;0.01;0.0000;1720410.55;16369.00;1736779.54;98.1150;111315.62
4833;2025-09-07 15:59:46.279552+00;111320.00;111330.00;111330.00;111320.00;30399.70;;111320.89;13.96;111320.90;0.16;0.01;0.0000;1564094.11;22550.28;1586644.39;97.1575;111320.90
